Lot;Pr_lot;Code;Name;Provider;Producer;Expire
05626075561304201604;15120802;000049     ;Краситель п-аминофенол порошковый (Rodol P Base, Chemibrox PAP, CAS 123-30-8);Ловенстин-Москва;Hai Chem;08.12.2018
05626093261509201609;20160702;000048     ;Краситель о-крезол  (Chemibroxс 4АОС, 5 амино орто крезол) (CAS № 2835-95-2);Ловенстин-Москва;Hai Chem;02.07.2019
05626101702511201613;16060216;000049     ;Краситель п-аминофенол порошковый (Rodol P Base, Chemibrox PAP, CAS 123-30-8);Ловенстин-Москва;Hai Chem;16.02.2019
05626127452806201707;20170401;000317     ;Краситель HC YELLOW#2;Ловенстин-Москва;Hai Chem;01.04.2020
05626168650604201801;2017-12;002471     ;Краситель Rodol  Yellow 87 (Lowacryl, Basic, 606B);Ловенстин-Москва;Hai Chem;21.12.2020
05626205351411201801;201808001;002470     ;Краситель Basic Orang 31 (Lowacryl);Ловенстин-Москва;HAI CHEM;01.08.2021
09444040152805201501;АС61412040;000094     ;Аммоний углекислый;Омиа Алгол Рус;Esseco UK Limited;01.12.2015
06803223732803201901;20P;001533     ;Дехитон(BetadetХР-50К,Чегина К40,Альбет,Лаукозол Б45,Галакси CAPBPLUS, Кокоамидопропилбетаин);ЕТС-Химические Материалы;"ООО ""АМИНОХИМ""";01.03.2020
06803226781204201913;112;005874     ;Лаукозол 103 (Texapon SB 3 KC, Сетацин 103, Setacin 103 Spezial NP, сульфосукцинат ANS-30);ЕТС-Химические Материалы;"ООО ""Северо-Западные лаборатории и производство""";05.04.2020
06803231311705201901;904-173;001402     ;Изопропиловый спирт;ЕТС-Химические Материалы;"ПАО ""ХимПром""";01.04.2020
06803235311306201901;201;005874     ;Лаукозол 103 (Texapon SB 3 KC, Сетацин 103, Setacin 103 Spezial NP, сульфосукцинат ANS-30);ЕТС-Химические Материалы;"ООО ""Северо-Западные лаборатории и производство""";11.06.2020
06803099640911201603;GCR160427007;003928     ;Диметикон DC 193 (Силикон 526, ПЭГ-12 диметикон, RJS-3293, Sera Sol SC);ЕТС-Химические Материалы;Guangzhou Tinci High-Tech Materials Co.,Ltd;26.04.2018
06803120232704201702;160906;003926     ;Плантакар (Plantacare 2000,Децилглюкозид,Милкозид 302, Алкилполигликозид С8-С14);ЕТС-Химические Материалы;Yangzhou Chenhua New Materials Co., Ltd;08.09.2017
06803128490707201702;GCR170503011;003986     ;Целкват SC240C (Ucare polymer JR-400) (поликватерниум-10, кондиционер П10);ЕТС-Химические Материалы;TINCI;03.05.2019
06803134521808201706;GCR170621035;003986     ;Целкват SC240C (Ucare polymer JR-400) (поликватерниум-10, кондиционер П10);ЕТС-Химические Материалы;TINCI;21.06.2019
06803153892612201702;GCR170928132;003986     ;Целкват SC240C (Ucare polymer JR-400) (поликватерниум-10, кондиционер П10);ЕТС-Химические Материалы;TINCI;28.09.2019
06803153892612201706;GCR170928114;003986     ;Целкват SC240C (Ucare polymer JR-400) (поликватерниум-10, кондиционер П10);ЕТС-Химические Материалы;TINCI;28.09.2019
06803187483107201811;GCR180515043;003986     ;Целкват SC240C (Ucare polymer JR-400) (поликватерниум-10, кондиционер П10);ЕТС-Химические Материалы;TINCI;15.05.2020
06803226781204201908;19;003351     ;Комперлан 100 (Неопал МЕК, Галакси 100,Empilan CME/T,  amidet A-111Р,Cocamid MEA, PALMOCOL PMA 1100);ЕТС-Химические Материалы;"ООО ""АМИНОХИМ""";01.03.2021
14083261331911201902;20190705;000050     ;Краситель ПФДА (Rodol D type J, Chemibroxc  РРD, CAS 106-50-3);АВЕНТЕЛЬ РУС ООО;Ouzhou Ruivuan Chemical Co.,Ltd;04.07.2020
06803106561201201702;GCR161111067;004137     ;Миранол Ультра (C32) (С2М Conc NP) (ТС-МАВ 40 Кокоамфодиацетат Na, Miconol);ЕТС-Химические Материалы;Guangzhou Tinci High-Tech Materials Co.,Ltd;10.11.2018
06803122111805201705;GCR170120005;001533     ;Дехитон(BetadetХР-50К,Чегина К40,Альбет,Лаукозол Б45,Галакси CAPBPLUS, Кокоамидопропилбетаин);ЕТС-Химические Материалы;Guangzhou Tinci High-Tech Materials Co.,Ltd;20.01.2019
06803140322709201704;170801;003926     ;Плантакар (Plantacare 2000,Децилглюкозид,Милкозид 302, Алкилполигликозид С8-С14);ЕТС-Химические Материалы;Yangzhou Chenhua New Materials Co., Ltd;27.07.2018
03405222612103201920;20181020;002457     ;Краситель 24 DAPE(2,4 диамино-феноксиэтанол гидрохлорид) (CAS № 66422-95-5);Ревада-Нева;Xinyu Chemicals;19.10.2020
03405224600104201901;JA190105-1;000335     ;Сульфоэтоксилаты натрия (Emal 270 D, Texapon N70 Tainolin AES-70-2-NC,Sles 270D,СульфороканолЛ270/1);Ревада-Нева;JAXING ZANYU TECHNOLOGY DEVELOPMENT CO., LTD.;04.01.2021
03405225310404201908;30789729;003927     ;Еуперлан PK 4000 ( Еуперлан РК 4000, Акипосал 2010С);Ревада-Нева;Kao Chemicals GmbH;27.05.2020
03405225920904201905;30779822;007924     ;Акиппо фоам (аkypo foam RL40, лаурет 5 карбоксилат, Акипо Фоам);Ревада-Нева;Kao Chemicals GmbH;10.01.2020
03405144612610201703;20170515;013910     ;Краситель HPDS (25ДПЕ) (CAS № 93841-25-9);Ревада-Нева;Xinyu Chemicals;14.05.2018
03405256311810201901;JA190729-1;000335     ;Сульфоэтоксилаты натрия (Emal 270 D, Texapon N70 Tainolin AES-70-2-NC,Sles 270D,СульфороканолЛ270/1);Ревада-Нева;JIAXING ZANYU TECHNOLOGY DEVELOPMENT CO. (ZHEJIANG ZANYU NEW MATERIAL CO., LTD.);28.07.2021
03405260251211201902;1191709-01;007891     ;Финдет ARH-52 (Findet ARH-52, гидрогенез касторовое масло ПЭГ-40);Ревада-Нева;UNITOP CHEMICALS PVT.LTD.;16.09.2021
03405261311911201901;19030607;035604     ;Скраб бамбуковый 500 (G1);Ревада-Нева;LESSONIA;31.03.2029
03405261311911201908;6082G19/01;014808     ;Масло аргано (Argana, Pariol 627 AP/P);Ревада-Нева;R A.&A. F.lli Parodi s.r.l.;01.07.2020
03405257032310201901;4619G03A;003931     ;Синтален W-2000 (Sintholen W-2000) (акрилатный загуститель);Ревада-Нева;3V Sigma;04.08.2021
03405258860111201907;20190723;001631     ;Краситель 2A3PYR (Chemibrox 2A3НPYR, CAS 16867-03-1, 2A3HP);Ревада-Нева;XiNY;22.07.2020
03405084890407201601;3;029220     ;Кислота ортофосфорная (ЧДА);Ревада-Нева;"ЗАО ""Унихим""";01.05.2019
03405029280402201505;62449;004546     ;Эмульгин В3 (цетеарет 30, цестопал 30М) в DE LUXE;Ревада-Нева;Industrria Chimica Panzeri S.r.l.;01.12.2016
03405029991102201506;25719;005546     ;Каопан ТВЛ-120 (Полисорбат-20, Лауропан Т/20);Ревада-Нева;Industria Chimica Panzeri S.r.l.;28.07.2015
03405108302501201711;20160522;002457     ;Краситель 24 DAPE(2,4 диамино-феноксиэтанол гидрохлорид) (CAS № 66422-95-5);Ревада-Нева;Xinyu Chemicals;21.05.2017
03405108302501201713;20161005;003345     ;Краситель Rodol MRP-N (2MR,метилрезорцин);Ревада-Нева;Xinyu Chemicals;04.10.2017
03405227231604201905;JA-190105-1;000335     ;Сульфоэтоксилаты натрия (Emal 270 D, Texapon N70 Tainolin AES-70-2-NC,Sles 270D,СульфороканолЛ270/1);Ревада-Нева;JAXING ZANYU TECHNOLOGY DEVELOPMENT CO., LTD.;04.01.2021
10231194561109201801;1092995;002750     ;Эфирное масло Иланг Иланг;Баргус Трейд;FREY+LAU GMBN (Германия);08.08.2021
07712066442801201601;40616;004523     ;Пигмент перламутровый синтетический КС 8856 (золотой,КС 3001, AG361);АР-хеми;Fu Jian Kuncai Material Technology Co., Ltd.;16.06.2022
07712115462703201701;51124-3;004523     ;Пигмент перламутровый синтетический КС 8856 (золотой,КС 3001, AG361);АР-хеми;Fu Jian Kuncai Material Technology Co., Ltd.;23.11.2023
09743058921711201501;10521;014808     ;Масло аргано (Argana, Pariol 627 AP/P);ИМСД Рус;IMCD Benelux B.V.;13.02.2017
10231063312412201501;910569;002750     ;Эфирное масло Иланг Иланг;Баргус Трейд;FREY+LAU GMBN (Германия);25.11.2018
10231069922902201601;917015;002750     ;Эфирное масло Иланг Иланг;Баргус Трейд;FREY+LAU GMBN (Германия);06.01.2019
10231095410410201601;L1607281090;001601     ;Молочная кислота;Баргус Трейд;HENAN JINDAN LACTIC ACID TECHNOLOGY CO., LTD;28.07.2018
10231107071601201701;970698;002750     ;Эфирное масло Иланг Иланг;Баргус Трейд;FREY+LAU GMBN (Германия);13.11.2019
09743046722707201501;7457;014808     ;Масло аргано (Argana, Pariol 627 AP/P);ИМСД Рус;IMCD Benelux B.V.;01.03.2016
10231084122806201602;L1601200139;001601     ;Молочная кислота;Баргус Трейд;HENAN JINDAN LACTIC ACID TECHNOLOGY CO., LTD;20.01.2018
10231165812103201801;1061860;002750     ;Эфирное масло Иланг Иланг;Баргус Трейд;FREY+LAU GMBN (Германия);25.02.2021
09743052872309201501;1168390001;026059     ;Пигмент MIRAGE Glamour Red;ИМСД Рус;Eckart ;04.05.2025
09743096581410201601;1268002001;026059     ;Пигмент MIRAGE Glamour Red;ИМСД Рус;Eckart ;22.03.2026
10231092590909201601;953004;002750     ;Эфирное масло Иланг Иланг;Баргус Трейд;FREY+LAU GMBN (Германия);06.08.2019
07712043900107201501;40616;004523     ;Пигмент перламутровый синтетический КС 8856 (золотой,КС 3001, AG361);АР-хеми;Fuzhou Kuncai Fine Chemicals Co., Ltd.;16.06.2022
07712112132702201701;51124-3;004523     ;Пигмент перламутровый синтетический КС 8856 (золотой,КС 3001, AG361);АР-хеми;Fu Jian Kuncai Material Technology Co., Ltd.;23.11.2023
09743197032609201801;1510396001;026059     ;Пигмент MIRAGE Glamour Red;ИМСД Рус;Eckart ;16.04.2028
09743052802309201502;1168390001;014858     ;Пигмент перламутровый 508;ИМСД Рус;Youngbio Chemical Co., Ltd.;04.05.2025
07712012653107201401;20140125;014857     ;Пигмент перламутровый 411;АР-хеми;Youngbio Chemical Co., Ltd.;25.01.2018
07712046282307201501;40616;004523     ;Пигмент перламутровый синтетический КС 8856 (золотой,КС 3001, AG361);АР-хеми;Fuzhou Kuncai Fine Chemicals Co., Ltd.;16.06.2022
07712144142410201701;61227-19;004523     ;Пигмент перламутровый синтетический КС 8856 (золотой,КС 3001, AG361);АР-хеми;Fu Jian Kuncai Material Technology Co., Ltd.;27.12.2024
03352062832212201501;9S-16c-15.12.15;000104     ;Поливинилпирролидон (полидон);Оргполимерсинтез;Orgpolymersynthesis SPb Ltd;15.12.2018
03352089691508201601;4S-2c-10.08.16;000104     ;Поливинилпирролидон (полидон);Оргполимерсинтез;Orgpolymersynthesis SPb Ltd;10.08.2017
03352109920702201701;1J-2/3c-26.01.17;000104     ;Поливинилпирролидон (полидон);Оргполимерсинтез;Orgpolymersynthesis SPb Ltd;26.01.2020
03648075761404201601;BHS068-2016;003618     ;Перекись водорода асептическая;ПроХим;Eka Chemicals AB, Sweden;28.02.2017
12381187443107201802;1131295-1-1-1;014564     ;Отдушка Caribbian Splash;БЕРГХЕМИ;DROM FRAGRANCES;01.01.2020
12381252422509201907;1208081-9-1-1;045080     ;Отдушка Fruit Cocktail 30065771;БЕРГХЕМИ;DROM FRAGRANCES;06.02.2021
12381254630910201903;1214423-3-1-1;014564     ;Отдушка Caribbian Splash;БЕРГХЕМИ;DROM FRAGRANCES;11.03.2021
12381211762612201805;1148015-7-1-1;018475     ;Отдушка White Bouquet № 49396695;БЕРГХЕМИ;DROM FRAGRANCES;10.03.2020
12381221241303201905;1111687-1-1-1;033919     ;Отдушка Choko Loco 30086447;БЕРГХЕМИ;Drom Fragrance;07.08.2020
12381228312304201902;1183545-1-1-1;007402     ;Отдушка Beautiful Day;БЕРГХЕМИ;DROM FRAGRANCES;24.09.2020
12381236301906201903;1184971-3-1-1;014564     ;Отдушка Caribbian Splash;БЕРГХЕМИ;DROM FRAGRANCES;07.10.2020
03352138481309201701;4J-4c-12.09.17;000104     ;Поливинилпирролидон (полидон);Оргполимерсинтез;Orgpolymersynthesis SPb Ltd;11.09.2020
03648116810404201701;BHS078-2017;003618     ;Перекись водорода асептическая;ПроХим;Eka Chemicals AB, Sweden;27.03.2018
12381177122905201801;1126101-1-1-1;028956     ;Отдушка Pink Belzebuth 2 30032624;БЕРГХЕМИ;Drom Fragrances;07.11.2019
12381257952810201903;1214592-1-1-2;045462     ;Отдушка Dark Storm;БЕРГХЕМИ;Drom Fragrance;18.03.2021
12381163500603201801;1111687-1-1-1;033919     ;Отдушка Choko Loco 30086447;БЕРГХЕМИ;Drom Fragrance;07.08.2020
12381221241303201902;1174226-2-1-1;024083     ;Отдушка New Arsenal 49456295;БЕРГХЕМИ;DROM FRAGRANCES;12.08.2020
03352046522407201501;4/5S-1C-17.07.15;000104     ;Поливинилпирролидон (полидон);Оргполимерсинтез;Orgpolymersynthesis SPb Ltd;17.07.2018
11927138601409201701;162170802;033856     ;Кофе молотый Арабика;Деливери Фуд;МКнП;02.08.2018
03648240171207201901;BHS191-2019;003618     ;Перекись водорода асептическая;ПроХим;Eka Chemicals AB, Sweden (AkzoNobel);15.05.2020
12381243910508201905;1195893-9-1-1;033123     ;Отдушка Queen;БЕРГХЕМИ;Drom Fragrances;04.12.2020
09918204350811201804;N-3370;001869     ;Гуар N-Hance 3205 (CG13, COSMEDIA, GUAR C 261N, Загуститель Эсафлор EC3);ГЕМ;NUEVO POLYMERS PVT. LTD.;01.10.2019
09918215840402201901;56033/18;018483     ;Экстракт перламутра PEARL EXTRACT 173242;ГЕМ;Fragrance Oils;28.11.2020
05326112600103201703;75932/32-37;031564     ;Отдушка Keratin Repair 27 606 C;Аванкор;Fragrance Resources;10.08.2018
05326186632707201801;85175;005399     ;Отдушка Delicious 102801 E;Аванкор;IFF Fragrance GmbH;18.12.2019
09918113601003201704;6306/17;018477     ;Отдушка Charm 366455;ГЕМ;Fragrance Oils;01.02.2019
08091163310503201801;V017073050;011241     ;Дигидроксиацетон повышенной чистоты / Dihydroxyacetone extra pure for cosmetic purposes;Эффект;Merck KGaA, Germany;31.12.2020
09918158790102201802;N-3293;001869     ;Гуар N-Hance 3205 (CG13, COSMEDIA, GUAR C 261N, Загуститель Эсафлор EC3);ГЕМ;NUEVO POLYMERS PVT. LTD.;06.05.2019
09918180131906201805;N-3372;001869     ;Гуар N-Hance 3205 (CG13, COSMEDIA, GUAR C 261N, Загуститель Эсафлор EC3);ГЕМ;NUEVO POLYMERS PVT. LTD.;01.10.2019
09918215840402201902;57134/18;030357     ;Отдушка Orange & Warm Ginger 168285 ;ГЕМ;Fragrance Oils;04.12.2020
09918233860306201908;N-3554;001869     ;Гуар N-Hance 3205 (CG13, COSMEDIA, GUAR C 261N, Загуститель Эсафлор EC3);ГЕМ;NUEVO POLYMERS PVT. LTD.;01.07.2020
09918238450207201902;21976/19;030357     ;Отдушка Orange & Warm Ginger 168285 ;ГЕМ;Fragrance Oils;01.05.2021
09918085951307201601;25926/16;018483     ;Экстракт перламутра PEARL EXTRACT 173242;ГЕМ;Fragrance Oils;06.06.2018
09918118641804201702;10684/17;018477     ;Отдушка Charm 366455;ГЕМ;Fragrance Oils;06.03.2019
09918154312812201705;N-3215;001869     ;Гуар N-Hance 3205 (CG13, COSMEDIA, GUAR C 261N, Загуститель Эсафлор EC3);ГЕМ;NUEVO POLYMERS PVT. LTD.;09.02.2019
09918197142609201802;37039/18;018477     ;Отдушка Charm 366455;ГЕМ;Fragrance Oils;09.08.2020
09918210992112201801;N-3446;001869     ;Гуар N-Hance 3205 (CG13, COSMEDIA, GUAR C 261N, Загуститель Эсафлор EC3);ГЕМ;NUEVO POLYMERS PVT. LTD.;01.06.2019
09918245971608201904;N-3555;001869     ;Гуар N-Hance 3205 (CG13, COSMEDIA, GUAR C 261N, Загуститель Эсафлор EC3);ГЕМ;NUEVO POLYMERS PVT. LTD.;01.07.2020
05326070120103201601;69497/3-18;005399     ;Отдушка Delicious 102801 E;Аванкор;FRAGRANCE RESOURCES;09.08.2017
09918113601003201703;6306/17;018477     ;Отдушка Charm 366455;ГЕМ;Fragrance Oils;01.02.2019
08091134661808201701;V017018250;011241     ;Дигидроксиацетон повышенной чистоты / Dihydroxyacetone extra pure for cosmetic purposes;Эффект;Merck KGaA, Germany;31.03.2020
05580097812510201601;571609341101;000335     ;Сульфоэтоксилаты натрия (Emal 270 D, Texapon N70 Tainolin AES-70-2-NC,Sles 270D,СульфороканолЛ270/1);Тэлко;ENASPOL, a.s.;05.09.2017
05580108482601201702;7743454-T339;000335     ;Сульфоэтоксилаты натрия (Emal 270 D, Texapon N70 Tainolin AES-70-2-NC,Sles 270D,СульфороканолЛ270/1);Тэлко;Stepan;09.12.2017
10164177152905201801;201803221;002301     ;Диоксид титана (Хомбитан АФДЦ);Союзоптторг;Jiangsu Hongyuan Pharmaceutical Co.,Ltd.;21.03.2023
08545034860304201504;12911497;001935     ;Цетиол (Cetiol PGL) (Cetiol 868);БАСФ(ООО);BASF;25.11.2016
08545052682309201501;13777643;000335     ;Сульфоэтоксилаты натрия (Emal 270 D, Texapon N70 Tainolin AES-70-2-NC,Sles 270D,СульфороканолЛ270/1);БАСФ(ООО);BASF;04.06.2016
08545055201510201502;13777643;000335     ;Сульфоэтоксилаты натрия (Emal 270 D, Texapon N70 Tainolin AES-70-2-NC,Sles 270D,СульфороканолЛ270/1);БАСФ(ООО);BASF;04.06.2016
09770169771304201801;05042018-103-1;031853     ;Экстракт манго (пропиленгликолевый);ЭКОФЛОР;"Russia (ЗАО ""Второй цех"")";05.04.2019
09770195121409201802;06092018-279-2;007275     ;Экстракт девясила (пропиленгликолевый);ЭКОФЛОР;"Russia (ООО ""Второй цех"")";06.09.2019
05580106292912201604;1151216;004732     ;Пропиловый спирт (Н-пропанол);Тэлко;The ASPO Company;15.12.2018
05580124820706201701;50000074404;004732     ;Пропиловый спирт (Н-пропанол);Тэлко;The ASPO Company;03.02.2019
05580189501308201801;2018_133;000335     ;Сульфоэтоксилаты натрия (Emal 270 D, Texapon N70 Tainolin AES-70-2-NC,Sles 270D,СульфороканолЛ270/1);Тэлко;PCC Exol SA;01.07.2019
05580209171012201801;27069;002655     ;Глицерин (PALMERA G995V);Тэлко;Renova S.A.;07.12.2019
08545034860304201501;12620475;003964     ;Ламекват (LAMEQUAT L);БАСФ(ООО);BASF;28.09.2016
