Штрихкод;ID;Артикул;Наименование;Единица;Коэффициент;
2000002416425;001630     ;;Oxetal ML 2;кг;1;
2000002488118;001631     ;;Краситель 2A3PYR (Chemibrox 2A3НPYR);кг;1;
2000002487630;001632     ;;Краситель HDAP ( XP5, 1 гидроксиэтил-4,5 диаминопиразол сульфат);кг;1;
;001715     ;Н/З OX ONLY 6;"Основа Окислитель ""ONLY"" 6%, кг";кг;1;
;001716     ;Н/З OX ONLY 9;"Основа Окислитель ""ONLY"" 9%, кг";кг;1;
2000002512851;001739     ;;Краситель Basic Yellow 28 (золотисто-желтый GL-200);кг;1;
2000002512868;001740     ;;Краситель Basic Red 46 (Red GRL-200);кг;1;
2000002488149;001771     ;;Краситель 4 BXN (2-амино-4 гидроксиэтил-анизол сульфат);кг;1;
2000002512561;001804     ;;Экстракт персика (спиртовой);кг;1;
2000009443080;001821     ;;Аэросил 200;кг;1;
2000002512882;001866     ;;Краситель Acid (Lowalan Violet 43) (Кислот. фиолетов. антрахинон);кг;1;
2000002416708;001869     ;;Гуар N-Hance 3205 (CG13, COSMEDIA, GUAR C 261N, Загуститель Эсафлор EC3);кг;1;
2000002488279;001873     ;;Краситель Basic violet 14 (фуксин. Magenta);кг;1;
2000002512899;001892     ;;Краситель Basic RED 51;кг;1;
2000002496199;001897     ;;ПЭГ-400;кг;1;
2000002512677;001935     ;;Цетиол (Cetiol PGL) (Cetiol 868);кг;1;
2000002512875;001945     ;;Краситель Basic Brown 3 RL (коричневый);кг;1;
2000002491262;002039     ;;Минеральное масло (вазелиновое масло Blandol или Меркур, DIVYOL WOP 80, Савонол 20);кг;1;
2000002417064;002049     ;;Кватерниум-70 (церафил);кг;1;
2000002416906;002301     ;;Диоксид титана (Хомбитан АФДЦ);кг;1;
2000002512431;002359     ;;Этоксидигликоль (Carbitol CG);кг;1;
2000002512493;002453     ;;Экстрапон гуарана (Фрутопон гуарана GT);кг;1;
2000002512790;002457     ;;Краситель 24 DAPE(2,4 диамино-феноксиэтанол гидрохлорид);кг;1;
2000002512844;002458     ;;Краситель Rodol PMP (1-ФЕНИЛ-3-МЕТИЛ-5-ПИРАЗОЛОН);кг;1;
2000002512837;002459     ;;Краситель Rodol HENP;кг;1;
2000002512820;002460     ;;Краситель Rodol 9 RBase (Chemibrox 6CNA, 2А64НП);кг;1;
2000002488231;002470     ;;Краситель Basic Orang 31 (Lowacryl);кг;1;
2000002488286;002471     ;;Краситель Rodol  Yellow 87 (Lowacryl);кг;1;
2000002496687;002476     ;;Стеариновая кислота (EDENOR, палмак 50-18, косметич. стеарин, Эденор СТ 05 МУ БД, Пальмера А5518);кг;1;
2000002490968;002582     ;;Микрокар (Microcare PM 5);кг;1;
2000002417248;002652     ;;Лаурил сульфат аммония (Sulfetal LA, LAUCOSOL LA, EMPICOL 30/Т,Тенсопол АЛС 25, Степанол АЛС-25);кг;1;
2000002416890;002653     ;;Диметикон DC 8500;кг;1;
2000002416678;002654     ;;Глуадин (Gluadin WQ, Вит-кват Л);кг;1;
2000002416661;002655     ;;Глицерин (PALMERA G995V);кг;1;
2000002495352;002658     ;;Поликватерниум 7 (Кондиционер Р7 NA, Galsilk 700, Мирапол);кг;1;
2000002416388;002659     ;;Ажидью НЛ50 (аминокислота, NaРСА, Налидон);кг;1;
2000002490500;002660     ;;Масло персика (PARIOL 326 ПС/Р);кг;1;
2000002512691;002675     ;;Хлористый натрий (Соль поваренная сушеная);кг;1;
2000002495086;002687     ;;Плантапон (Plantapon AGS-35,  Plantapon ACG LC);кг;1;
2000002512905;002705     ;;Краситель Lowacril  blue # 26;кг;1;
2000002512509;002715     ;;Экстрапон (ALPHA-PULP) (Экстрапон);кг;1;
2000002512424;002750     ;;Эфирное масло Иланг Иланг;кг;1;
2000002488255;002753     ;;Краситель Basic Red 76 (Arianor Madder Red 306003);кг;1;
2000002488194;002754     ;;Краситель Basic Blue 99 (Arianor MadderSteel bleu 306014);кг;1;
;002849     ;"Н/З OX ""LOVE"" 6 %";"Основа Окислитель ""LOVE"" 6 %, кг";кг;1;
;002850     ;"Н/З OX ""LOVE"" 9 %";"Основа Окислитель ""LOVE"" 9 %, кг";кг;1;
2000002416883;002980     ;;Диметикон DC 5-7113;кг;1;
2000002416647;003076     ;;Гидросульфит натрия (Натрия дитионит);кг;1;
2000002512929;003345     ;;Краситель Rodol MRP-N (2MR,метилрезорцин);кг;1;
2000002417132;003351     ;;Комперлан 100 (Неопал МЕК, Галакси 100,Empilan CME/T,  amidet A-111Р,Cocamid MEA, PALMOCOL PMA 1100);кг;1;
2000002416616;003371     ;;Воск белый пчелинный (beeswax white);кг;1;
2000002496366;003382     ;;Ронгалит;кг;1;
2000002417255;003396     ;;Лецитин водорастворимый (Lecithin CRL-320, Липоид С-20);кг;1;
2000002416593;003397     ;;Витаминный комплекс (Soluvit Richter);кг;1;
2000002488217;003412     ;;Краситель Basic Brown 17 (Arianor 306001,Arianor 306011 );кг;1;
2000002496885;003431     ;;Тиогликолят аммония;кг;1;
2000002416821;003432     ;;Диметикон DC 200/60000 (Белсил ДМ 60000);кг;1;
2000002493761;003443     ;;Отдушка ALIVE;кг;1;
2000002488163;003508     ;;Краситель Acid Black#2 (Lowalan black#2, нигрозин);кг;1;
;003534     ;жир ESSEX;"Основа орг. для ""ESSEX"", кг";кг;1;
2000002494980;003618     ;;Перекись водорода асептическая;кг;1;
2000002496236;003687     ;;ПЭГ-8 дистеарат (DS PEG-8, Неомин 8 ДС);кг;1;
2000002496311;003807     ;;Рицино Х 40М;кг;1;
2000002488187;003841     ;;Краситель Basic Brown 16 (Arianor Mahogany 306002);кг;1;
2000002417057;003843     ;;Квартамин АВ (бегентримониум хлорид, Микрокер Кват БХК);кг;1;
2000002417170;003925     ;;Кутина МД (CUTINA MD, Париол ГМС, Моностеарат глицерина, RADIASUFR 7143, ГМС Масемул);кг;1;
2000002495031;003926     ;;Плантакар (Plantacare 2000,Децилглюкозид,Милкозид 302, Алкилполигликозид С8-С14);кг;1;
2000002416944;003927     ;;Еуперлан PK 4000 ( Еуперлан РК 4000, Акипосал 2010С);кг;1;
2000002416791;003928     ;;Диметикон DC 193 (Силикон 526, ПЭГ-12 диметикон);кг;1;
2000002416845;003929     ;;Диметикон DC 2501;кг;1;
2000002496533;003931     ;;Синтален W-2000 (Sintholen W-2000) (акрилатный загуститель);кг;1;
2000002495154;003932     ;;Плюракэр Е1500 флакс (FLURACARE E1500) (ПЭГ-32, ПЭГ-1500);кг;1;
2000002494942;003933     ;;ПВП/ВА W-635 (PVP/VA W-635) (Лувискол VA64W);кг;1;
2000002496588;003934     ;;Сорбитол (indosorb, daily chemical grade sorbitol 70%);кг;1;
2000002416500;003935     ;;АМП-95 (аминометилпропанол);кг;1;
2000002417262;003946     ;;Лувикварт Ультракэр (Поликватерниум 44, LUVIQUAT ULTRACARE);кг;1;
2000002417194;003964     ;;Ламекват (LAMEQUAT L);кг;1;
2000002496724;003982     ;;Стилез W-20, Стилез W-17 (поликватерниум 55);кг;1;
2000002495116;003984     ;;Плюракэр Е 600 (PLURACARE E600) (ПЭГ-600);кг;1;
2000002512684;003986     ;;Целкват SC240C (Ucare polymer JR-400) (поликватерниум-10, кондиционер П10);кг;1;
2000002494294;004011     ;;Отдушка Elvi (441223);кг;1;
2000002494652;004012     ;;Отдушка Moire (461246);кг;1;
2000002493648;004013     ;;"Отдушка ""VITAFUN"" (441235)";кг;1;
2000002417118;004014     ;;Китамер РС (KYTAMER PC, HYDAGEN HCMF, хитозан 85/100/А1) ;кг;1;
2000002490555;004017     ;;Масло подсолнечное рафинированное дезодорированное;кг;1;
2000002416432;004048     ;;Акузол ОР-301 (замутнитель);кг;1;
2000002494331;004062     ;;Отдушка Fit Fit (Mod 486286);кг;1;
2000002416876;004100     ;;Диметикон DC 556 (Белсил ПДМ 20, Фенилтриметикон PTM 20);кг;1;
2000002416784;004101     ;;Диметикон DC 1501 (Белсил ЦМ 1000, BRB 1834);кг;1;
2000002416838;004102     ;;Диметикон DC 245 (SF 1202, Белсил ЦМ 040, Xaimeter PMX 0245, Силикон ЦМ 50, циклопентасилоксан, CM5);кг;1;
2000002416852;004103     ;;Диметикон DC 2-8566 (Белсил АДМ 1100);кг;1;
2000002493730;004112     ;;"Отдушка ""ZZTOP@UNO 3379""";кг;1;
2000002512516;004113     ;;Экстракт шелка COS (Силкерин ХЛ, протеин шелка);кг;1;
2000002416869;004116     ;;Диметикон DC 5330;кг;1;
2000002416975;004117     ;;Изододекан;кг;1;
2000002491347;004137     ;;Миранол Ультра (C32) (С2М Conc NP) (ТС-МАВ 40 Кокоамфодиацетат Na, Miconol);кг;1;
2000002493471;004329     ;;"Отдушка ""Skin deep"" (173966)";кг;1;
2000002496632;004502     ;;Станнат натрия тригидрат;кг;1;
2000002512998;004523     ;;Пигмент перламутровый синтетический КС 8856 (золотой,КС 3001);кг;1;
2000002512462;004546     ;;Эмульгин В3 (цетеарет 30, цестопал 30М) в DE LUXE;кг;1;
2000002495529;004732     ;;Пропиловый спирт (Н-пропанол);кг;1;
2000016776089;004814     ;;Рамкосорф ХП (витамины);кг;1;
2000002512400;004896     ;;Цистеамин гидрохлорид (Cysteamine HCL 99%-JS, Цистамин ХСЛ);кг;1;
2000002416982;004978     ;;Изопропилмиристат (Париол ИПМ, Пальмсурф ИПМ98, Lincol IPM, Пальместер 1512, Масестер Е1140);кг;1;
2000002416692;005149     ;;Глюкомат LT;кг;1;
2000002417125;005150     ;;"Китинами (KITINAMI) (сукцинил хитозан) (HYDROXAN, Гидроксан); Гидроцел Q(Hydrocell Q)";кг;1;
;005161     ;ХЭК;Основа  Хромоэнергетический комплекс;кг;1;
2000002493280;005206     ;;"Отдушка ""QUEST PD 3662""";кг;1;
2000002416722;005229     ;;Дехикварт Ф 75 (Dehyquart F 75);кг;1;
2000002416418;005291     ;;Алкил бензоат С12- С15 ( DUB В1215, Неомин АБ, Эркарель АБ, Cosmacol EBI);кг;1;
2000002416579;005338     ;;Вазелин Меркур 501 (poweroil petroleum jelly-ep);кг;1;
2000001372494;005343     ;;Каолин КБЕ-2;кг;1;
2000002416449;005351     ;;Аллантоин 3В;кг;1;
2000002416456;005352     ;;Альфа-Бизаболол;кг;1;
2000002494904;005353     ;;Париол  МТЛ (Метиллактат) ;кг;1;
2000002416517;005361     ;;Анагелин;кг;1;
2000002512653;005362     ;;Цинк пиритион;кг;1;
2000002494225;005363     ;;Отдушка Dolce Gabbana (creation original JL 14209);кг;1;
2000002490692;005382     ;;Масло Ши Париол 218 БК/Р;кг;1;
2000002724742;005388     ;;Сульфит натрия, тех. фото (для утилизации окислителей);кг;1;
2000002494119;005399     ;;Отдушка Delicious 102801 E;кг;1;
2000002417200;005403     ;;Ланолин;кг;1;
2000002512486;005430     ;;Эманон ХЕ (ПЕГ-7 глицерил кокоат, Неопал ХЕ, ПЭГ-7, Рокацет К0300Г);кг;1;
2000002491453;005431     ;;Неопон БДА (лаурет-7 цитрат);кг;1;
2000002416807;005443     ;;Диметикон DC 200/1000 (Белсил ДМ 1000, полидиметилсилоксан);кг;1;
2000002493426;005543     ;;"Отдушка ""Sensual Spa"" (49319152)";кг;1;
2000002495307;005544     ;;Поликватерниум 28 (ConditionezeNT-20);кг;1;
2000002417002;005546     ;;Каопан ТВЛ-120 (Полисорбат-20, Лауропан Т/20);кг;1;
2000002512745;005559     ;;УФ-фильтр (Tinogard HS, Тиногард HS);кг;1;
2000002416548;005672     ;;Бетадет СХР (кокамидопропил султаин, Маккам CBS 50 G E);кг;1;
2000002494065;005736     ;;Отдушка Deeper RW;кг;1;
